Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,HDD(GB),Processor_Category,Display_Tier,GPU_Tier,Processor_Speed(Ghz),SSD(GB)
ASUS,195965.0,Intel,Yes,8,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,4.5,512
Other,167996.5,Intel,No,8,LP4,LCD,Intel,0,Intel I5,Small,Entry-level,1.0,512
Lenovo,129115.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,256
HP,182647.5,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,4.0,256
HP,77248.5,Intel,No,4,4,LED,Intel,1024,Intel Celeron,Small,Entry-level,1.0,0
Lenovo,139650.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.5,512
HP,188996.5,AMD,Yes,8,4,LED,AMD,0,AMD Ryzen 5,Large,Mid-end,3.5,512
Dell,132965.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,2.0,512
Acer,174965.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.5,512
HP,153996.5,AMD,No,8,4,LED,AMD,0,AMD Ryzen 3,Small,Entry-level,3.5,512
Lenovo,138068.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
Acer,171465.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.5,512
HP,209300.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
Lenovo,122850.0,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,3.0,512
HP,196224.0,AMD,No,8,4,LED,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.0,512
Dell,129465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.0,512
Acer,202965.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Small,Entry-level,3.5,512
Lenovo,205765.0,Intel,No,16,4,LED,Intel,0,Intel I5,Small,Low-end,2.5,512
Acer,188615.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.5,512
Lenovo,101465.0,AMD,Yes,8,LP5,LCD,AMD,0,AMD Athlon,Small,Low-end,2.5,512
HP,180215.0,Intel,No,8,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
HP,134750.0,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,2.0,512
HP,269496.5,Intel,Yes,16,4,LED,Intel,0,Intel I7,Small,Low-end,5.0,1024
Dell,111965.0,AMD,Yes,8,4,LCD,AMD,0,AMD Athlon,Small,Entry-level,2.5,256
MSI,216965.0,AMD,Yes,16,4,LCD,AMD,0,AMD Ryzen 7,Small,Mid-end,3.0,512
MSI,167191.5,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
Acer,220465.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.5,512
Acer,97212.5,Intel,Yes,4,4,LED,Intel,0,Intel I3,Small,Entry-level,1.0,512
Acer,106260.0,Intel,No,4,4,LED,Intel,1024,Intel I3,Small,Entry-level,2.0,0
Lenovo,122465.0,Intel,No,4,4,LED,Intel,0,Intel I3,Small,Entry-level,2.0,256
Lenovo,88200.0,Intel,No,4,4,LED,Intel,0,Intel Celeron,Small,Entry-level,3.0,256
HP,192496.5,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
Other,116865.0,Intel,No,8,LP4,LCD,Intel,0,Intel I5,Small,Entry-level,1.0,512
Lenovo,252000.0,AMD,No,16,4,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.5,512
HP,176988.0,AMD,No,16,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
Dell,125996.5,Intel,Yes,8,4,LED,Intel,1024,Intel I3,Small,Entry-level,1.0,256
Dell,155225.0,Intel,No,8,4,LCD,Intel,1024,Intel I3,Small,Entry-level,1.0,256
Lenovo,89215.0,Intel,Yes,8,4,LCD,Intel,0,Intel Celeron,Small,Entry-level,3.0,256
Acer,360465.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I7,Small,High-end,3.0,1024
HP,218715.0,Intel,No,8,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
ASUS,62965.0,Intel,No,4,LP4,LCD,Intel,0,Intel Celeron,Small,Entry-level,1.0,128
HP,193900.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Large,Mid-end,2.5,512
Lenovo,97965.0,AMD,Yes,8,LP5,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
Lenovo,213465.0,Intel,Yes,8,4,LED,NVIDIA,1024,Intel I5,Small,Mid-end,2.5,256
HP,213150.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I5,Large,Mid-end,4.0,512
HP,156800.0,AMD,No,16,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
HP,171465.0,AMD,Yes,16,4,LCD,AMD,0,AMD Ryzen 7,Small,Entry-level,4.0,512
