Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE(DDR),Ghz,Display_type,GPU_Brand,SSD(GB),HDD(GB),Display_Tier,GPU_Tier,Processor_Tier,Processor_Speed(Ghz)
Hp,208215.0,Intel,No,8,4,4.2,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,4.0
Lenovo,96215.0,AMD,Yes,8,4,2.6,LCD,AMD,512.0,0,Large,Entry-level,Low-End,2.5
Other,101465.0,Intel,No,8,4,2.4,LCD,Intel,512.0,0,Large,Low-end,Other,2.5
Acer,279965.0,Intel,No,16,5,2.7385892116182573,LED,Intel,512.0,0,Small,Low-end,Other,2.5
Dell,223996.5,Intel,Yes,8,4,4.0,LCD,Intel,256.0,0,Small,Entry-level,Other,4.0
Hp,178465.0,AMD,No,16,5,4.2,LCD,AMD,512.0,0,Large,Entry-level,Mid-End,4.0
Hp,162715.0,AMD,Yes,8,5,2.8,LCD,AMD,512.0,0,Large,Entry-level,Mid-End,3.0
Acer,332465.0,Intel,Yes,16,5,2.7385892116182573,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Hp,238742.0,AMD,Yes,8,4,4.2,LCD,NVIDIA,512.0,0,Large,Mid-end,Mid-End,4.0
Lenovo,234465.0,Intel,Yes,8,4,3.1,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,3.0
Hp,213465.0,AMD,No,16,4,3.3,LCD,NVIDIA,512.0,0,Medium,Mid-end,Mid-End,3.5
Lenovo,202965.0,AMD,Yes,8,4,3.4,LCD,NVIDIA,512.0,0,Large,Mid-end,Mid-End,3.5
Lenovo,200550.0,Intel,No,8,4,3.0,LED,Intel,512.0,0,Small,Entry-level,Other,3.0
Asus,127736.0,Intel,Yes,8,4,3.0,LCD,Intel,512.0,0,Small,Entry-level,Other,3.0
Acer,167965.0,AMD,Yes,8,4,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Mid-End,3.5
Dell,181996.5,Intel,No,16,4,2.4,LCD,Intel,512.0,0,Large,Entry-level,Other,2.5
Hp,195996.5,AMD,Yes,16,4,3.3,LCD,AMD,512.0,0,Large,Mid-end,Mid-End,3.5
Hp,230965.0,Intel,Yes,16,4,4.2,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,4.0
Dell,263550.0,AMD,Yes,8,4,3.0,LED,AMD,512.0,0,Large,Mid-end,Mid-End,3.0
Hp,271215.0,Intel,Yes,16,4,4.7,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,4.5
Hp,306215.0,Intel,No,16,4,4.7,LCD,Intel,1024.0,0,Small,Low-end,Other,4.5
Lenovo,110778.5,AMD,No,8,4,2.6,LCD,AMD,512.0,0,Large,Entry-level,Low-End,2.5
Hp,244965.0,Intel,Yes,8,4,4.7,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,4.5
Msi,111965.0,Intel,No,8,4,0.8,LCD,Intel,512.0,0,Small,Entry-level,Other,1.0
Acer,318465.0,Intel,No,16,4,3.1,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,3.0
Lenovo,167965.0,AMD,No,16,4,1.8,LCD,AMD,512.0,0,Large,Entry-level,High-End,2.0
