Price,RAM_Expandable,RAM,RAM_TYPE(DDR),Display_type,Processor_Tier,Processor_Speed(Ghz),Display_Tier,GPU_Tier,SSD(GB),HDD(GB),Brand_Acer,Brand_Apple,Brand_Dell,Brand_HP,Brand_Lenovo,Brand_MSI,Brand_Other,Brand_Samsung,Processor_Apple,Processor_Intel,GPU_Apple,GPU_Intel,GPU_NVIDIA
205765.0,0,16,4,1,1.0,2.5,2,2,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
188615.0,0,8,4,0,1.0,3.5,2,3,512,0,True,False,False,False,False,False,False,False,False,True,False,False,True
101465.0,1,8,5,0,0.0,2.5,2,2,512,0,False,False,False,False,True,False,False,False,False,False,False,False,False
180215.0,0,8,4,0,1.0,4.0,2,2,512,0,False,False,False,True,False,False,False,False,False,True,False,True,False
134750.0,0,8,4,1,0.0,2.0,2,1,512,0,False,False,False,True,False,False,False,False,False,True,False,True,False
269496.5,1,16,4,1,2.0,5.0,1,2,1024,0,False,False,False,True,False,False,False,False,False,True,False,True,False
111965.0,1,8,4,0,0.0,2.5,2,1,256,0,False,False,True,False,False,False,False,False,False,False,False,False,False
216965.0,1,16,4,0,2.0,3.0,2,3,512,0,False,False,False,False,False,True,False,False,False,False,False,False,False
167191.5,1,8,4,0,1.0,2.5,2,3,512,0,False,False,False,False,False,True,False,False,False,True,False,False,True
220465.0,1,8,4,0,1.0,3.5,2,3,512,0,True,False,False,False,False,False,False,False,False,True,False,False,True
97212.5,1,4,4,1,0.0,1.0,1,1,512,0,True,False,False,False,False,False,False,False,False,True,False,True,False
106260.0,0,4,4,1,0.0,2.0,2,1,0,1024,True,False,False,False,False,False,False,False,False,True,False,True,False
122465.0,0,4,4,1,0.0,2.0,2,1,256,0,False,False,False,False,True,False,False,False,False,True,False,True,False
88200.0,0,4,4,1,0.0,3.0,1,1,256,0,False,False,False,False,True,False,False,False,False,True,False,True,False
192496.5,1,8,4,0,1.0,4.0,1,2,512,0,False,False,False,True,False,False,False,False,False,True,False,True,False
116865.0,0,8,4,0,1.0,1.0,1,1,512,0,False,False,False,False,False,False,True,False,False,True,False,True,False
252000.0,0,16,4,0,1.0,3.5,2,3,512,0,False,False,False,False,True,False,False,False,False,False,False,False,True
176988.0,0,16,4,0,1.0,4.0,1,1,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
