Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE,Processer_speed,Display_type,GPU_Brand,SSD(GB),HDD(GB),Processor_Series,Processor_Tier,Display_Category,GPU_Tier
Lenovo,118965.0,Intel,No,4,DDR4,1.2,LCD,Intel,256,0,Intel Core I3,Low-End,Small,Entry-level
Dell,206465.0,Intel,No,16,DDR4,3.4,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Dell,216965.0,Intel,No,16,DDR4,1.3,LCD,Intel,1024,0,Intel Core I5,Mid-End,Medium,Entry-level
ASUS,108496.5,Intel,No,4,DDR4,3.0,LED,Intel,256,0,Intel Core I3,Low-End,Small,Entry-level
Dell,150496.5,Intel,Yes,8,DDR4,1.7,LCD,Intel,256,1024,Intel Core I3,Low-End,Medium,Entry-level
HP,115465.0,Intel,No,8,DDR4,2.6,LCD,Intel,256,0,Intel Core I3,Low-End,Medium,Entry-level
Acer,223996.5,Intel,Yes,8,DDR4,3.3,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
MSI,195965.0,Intel,No,8,DDR4,2.7,LCD,NVIDIA,256,1024,Intel Core I5,Mid-End,Medium,Mid-end
ASUS,352236.5,Intel,Yes,16,DDR5,2.6,LED,Intel,1024,0,Intel Core I9,High-End,Medium,Entry-level
Other,157647.0,AMD,No,8,DDR4,2.3,LED,AMD,512,0,AMD Ryzen 7,Upper Mid-End,Medium,Low-end
HP,178465.0,Intel,Yes,8,DDR4,4.2,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
ASUS,188965.0,AMD,No,16,DDR4,4.2,LCD,AMD,1024,0,AMD Ryzen 5,Mid-End,Large,Low-end
ASUS,384965.0,Intel,Yes,16,DDR5,2.3,LCD,NVIDIA,512,0,Intel Core I7,Upper Mid-End,Medium,Mid-end
ASUS,118300.0,Intel,No,8,DDR4,3.0,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Dell,141750.0,AMD,Yes,8,DDR4,2.7,LCD,AMD,512,0,AMD Ryzen 3,Low-End,Medium,Low-end
ASUS,174965.0,AMD,No,8,DDR4,2.0,LCD,AMD,1024,0,AMD Ryzen 5,Mid-End,Large,Low-end
ASUS,188965.0,Intel,No,16,DDR4,2.5,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
HP,206465.0,Intel,Yes,16,DDR4,4.2,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Large,Mid-end
Lenovo,125996.5,AMD,No,8,DDR5,2.8,LCD,AMD,512,0,AMD Ryzen 5,Mid-End,Medium,Entry-level
ASUS,119875.0,Intel,Yes,4,DDR4,2.1,LED,Intel,0,1024,Intel Core I3,Low-End,Medium,Entry-level
MSI,231164.5,Intel,No,16,DDR4,1.8,LED,NVIDIA,512,0,Intel Core I7,Upper Mid-End,Small,Low-end
HP,178293.5,AMD,Yes,8,DDR4,4.2,LCD,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Medium,Mid-end
Dell,223996.5,Intel,Yes,8,DDR4,3.0,LED,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
ASUS,318115.0,AMD,Yes,16,DDR5,4.7,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Medium,High-end
Dell,167996.5,Intel,Yes,8,DDR5,1.6,LCD,Intel,1024,0,Intel Core I3,Low-End,Medium,Entry-level
